t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0,6831552.3,0,0,0,-1063.0764,7564.1819,3415776.2,5916297.9,0,920.6512,-531.53822,7564.1819,-3415776.2,5916297.9,0,920.6512,531.53822,7564.1819
60,6816184.6,-63736.751,453510.55,-512.06419,-1060.685,7547.1661,3463290,5871120.7,453510.55,662.54809,-973.80311,7547.1661,-3352894.7,5934857.4,453510.55,1174.6123,86.881918,7547.1661
120,6770150.7,-127186.75,904980.74,-1021.8246,-1053.5216,7496.1954,3495222.3,5799529.1,904980.74,401.46415,-1411.6868,7496.1954,-3274928.4,5926715.9,904980.74,1423.2887,-358.16527,7496.1954
180,6693657.7,-190064.53,1352379.4,-1526.9878,-1041.6183,7411.4991,3511429.5,5701845.3,1352379.4,138.574,-1843.2193,7411.4991,-3182228.1,5891909.8,1352379.4,1665.5618,-801.60105,7411.4991
240,6587049.6,-252087.2,1793693.6,-2025.281,-1025.0287,7293.4582,3511838.7,5578508.7,1793693.6,-124.93959,-2266.4591,7293.4582,-3075210.9,5830595.9,1793693.6,1900.3414,-1241.4304,7293.4582
300,6450806.2,-312975.73,2226938,-2514.4624,-1003.8275,7142.6038,3496448,5430074.2,2226938,-387.89107,-2679.502,7142.6038,-2954358.2,5743049.9,2226938,2126.5713,-1675.6745,7142.6038
360,6285540.4,-372456.16,2650163.3,-2992.3311,-978.11004,6959.6145,3465326.7,5257209.6,2650163.3,-649.09742,-3080.4898,6959.6145,-2820213.7,5629665.7,2650163.3,2343.2337,-2102.3797,6959.6145
420,6091995.8,-430260.91,3061465.4,-3456.7373,-947.99203,6745.3138,3418614.8,5060692.6,3061465.4,-907.38345,-3467.6183,6745.3138,-2673381,5490953.5,3061465.4,2549.3538,-2519.6263,6745.3138
480,5871043,-486129.89,3458993.9,-3905.5914,-913.60897,6500.6656,3356522.3,4841407.5,3458993.9,-1161.5871,-3839.1459,6500.6656,-2514520.7,5327537.3,3458993.9,2744.0043,-2925.5369,6500.6656
540,5623676.3,-539811.76,3840960.3,-4336.8742,-875.11556,6226.7707,3279328.8,4600340.6,3840960.3,-1410.5648,-4193.401,6226.7707,-2344347.4,5140152.4,3840960.3,2926.3094,-3318.2855,6226.7707
600,5351008.4,-591065,4205646,-4748.6453,-832.68497,5924.8614,3187381.5,4338576.7,4205646,-1653.1963,-4528.7899,5924.8614,-2163626.9,4929641.7,4205646,3095.449,-3696.105,5924.8614
660,5054266.2,-639659.02,4551410.4,-5139.052,-786.50811,5596.296,3081094.1,4057293.4,4551410.4,-1888.39,-4843.8037,5596.296,-1973172.1,4696952.4,4551410.4,3250.662,-4057.2955,5596.296
720,4734784.7,-685375.19,4876697.9,-5506.338,-736.79272,5242.5526,2960944.7,3757756.2,4876697.9,-2115.0878,-5137.0249,5242.5526,-1773840,4443131.4,4876697.9,3391.2502,-4400.2322,5242.5526
780,4394001.2,-728007.84,5180044.9,-5848.8508,-683.76247,4865.2228,2827473.9,3441312.7,5180044.9,-2332.2697,-5407.1346,4865.2228,-1566527.3,4169320.6,5180044.9,3516.5811,-4723.3721,4865.2228
840,4033448.9,-767365.16,5460086.8,-6165.0494,-627.65595,4466.0042,2681282.2,3109386.7,5460086.8,-2538.9587,-5652.9174,4466.0042,-1352166.7,3876751.8,5460086.8,3626.0907,-5025.2614,4466.0042
900,3654750.1,-803270.07,5715563.5,-6453.5112,-568.72559,4046.6929,2523027.3,2763471.4,5715563.5,-2734.2248,-5873.2675,4046.6929,-1131722.7,3566741.4,5715563.5,3719.2864,-5304.5419,4046.6929
960,3259608.4,-835561.05,5945325.8,-6712.9385,-507.23652,3609.1754,2353421.3,2405123.1,5945325.8,-2917.1895,-6067.1935,3609.1754,-906187.08,3240684.2,5945325.8,3795.749,-5559.957,3609.1754
1020,2849801.6,-864092.8,6148339.8,-6942.1641,-443.46537,3155.4201,2173227.1,2035954.1,6148339.8,-3087.0298,-6233.8231,3155.4201,-676574.46,2900046.9,6148339.8,3855.1343,-5790.3577,3155.4201
1080,2427173.4,-888736.98,6323692.2,-7140.1566,-377.69906,2687.4684,1983255.5,1657625.4,6323692.2,-3242.9813,-6372.4065,2687.4684,-443917.91,2546362.3,6323692.2,3897.1753,-5994.7075,2687.4684
1140,1993625.3,-909382.7,6470594.1,-7306.0253,-310.23346,2207.4258,1784361.2,1271838.8,6470594.1,-3384.3426,-6482.3202,2207.4258,-209264.15,2181221.5,6470594.1,3921.6827,-6172.0868,2207.4258
1200,1551107.9,-925937.08,6588384.6,-7439.024,-241.37212,1717.4518,1577439,880330.29,6588384.6,-3510.4776,-6563.0698,1717.4518,26331.09,1806267.4,6588384.6,3928.5464,-6321.6977,1717.4518
1260,1101611.9,-938325.63,6676533.8,-7538.5542,-171.42483,1219.751,1363419.8,484861.1,6676533.8,-3620.8189,-6614.2919,1219.751,261807.87,1423186.7,6676533.8,3917.7354,-6442.8671,1219.751
1320,647159.8,-946492.63,6734645,-7604.1683,-100.7063,716.56253,1143266.6,87210.512,6734645,-3714.8699,-6635.7561,716.56253,496106.76,1033703.1,6734645,3889.2984,-6535.0498,716.56253
1380,189796.07,-950401.32,6762456.8,-7635.571,-29.534683,210.15019,917969.73,-310832.44,6762456.8,-3792.2077,-6627.3658,210.15019,728173.66,639568.88,6762456.8,3843.3633,-6597.8311,210.15019
1440,-268421.56,-950034.13,6759844.1,-7632.6209,41.769809,-297.20763,688542.91,-707476.95,6759844.1,-3852.4842,-6589.1587,-297.20763,956964.47,242557.18,6759844.1,3780.1367,-6630.9285,-297.20763
1500,-725431.55,-945392.71,6726818.6,-7595.3315,112.88638,-803.2283,456018.33,-1100938.5,6726818.6,-3895.4282,-6521.3068,-803.2283,1181449.9,-155545.8,6726818.6,3699.9033,-6634.1932,-803.2283
1560,-1179177.8,-936497.93,6663529,-7523.8704,183.49506,-1305.6352,221442.1,-1489446.9,6663529,-3920.8466,-6424.1153,-1305.6352,1400619.9,-552948.97,6663529,3603.0238,-6607.6104,-1305.6352
1620,-1627618.9,-923389.81,6570259.9,-7418.5591,253.2782,-1802.168,-14130.41,-1871254.2,6570259.9,-3928.6249,-6298.0216,-1802.168,1613488.5,-947864.4,6570259.9,3489.9342,-6551.2998,-1802.168
1680,-2068737.3,-906127.34,6447431,-7279.8716,321.92183,-2290.5929,-249639.34,-2244642.7,6447431,-3918.7283,-6143.5928,-2290.5929,1819097.9,-1338515.4,6447431,3361.1433,-6465.5146,-2290.5929
1740,-2500548.3,-884788.16,6295594.9,-7108.4316,389.11713,-2768.7122,-484025.14,-2607932.5,6295594.9,-3891.2011,-5961.5238,-2768.7122,2016523.2,-1723144.3,6295594.9,3217.2305,-6350.6409,-2768.7122
1800,-2921109.3,-859468.3,6115434.7,-6905.0106,454.56177,-3234.375,-716233.29,-2959489,6115434.7,-3846.1673,-5752.6337,-3234.375,2204876.1,-2100020.7,6115434.7,3058.8432,-6207.1954,-3234.375
1860,-3328528.2,-830281.66,5907761,-6670.5237,517.96132,-3685.4863,-945219.08,-3297730.8,5907761,-3783.8295,-5517.8623,-3685.4863,2383309.1,-2467449.1,5907761,2886.6942,-6035.8236,-3685.4863
1920,-3720971.9,-797359.55,5673508,-6406.0258,579.03055,-4120.0165,-1169952.3,-3621135.9,5673508,-3704.4681,-5258.2658,-4120.0165,2551019.6,-2823776.4,5673508,2701.5578,-5837.2964,-4120.0165
1980,-4096674.8,-760850.1,5413729.8,-6112.7071,637.4947,-4536.0105,-1389421.9,-3928249.5,5413729.8,-3608.4402,-4975.0123,-4536.0105,2707252.9,-3167399.4,5413729.8,2504.267,-5612.507,-4536.0105
2040,-4453946.6,-720917.56,5129595,-5791.8871,693.09075,-4931.5969,-1602640.4,-4217689.7,5129595,-3496.1777,-4669.376,-4931.5969,2851306.2,-3496772.1,5129595,2295.7094,-5362.4667,-4931.5969
2100,-4791180,-677741.59,4822382,-5445.0092,745.56855,-5304.9959,-1808648.6,-4488154.4,4822382,-3368.1859,-4342.732,-5304.9959,2982531.4,-3810412.8,4822382,2076.8233,-5088.3006,-5304.9959
2160,-5106857.7,-631516.43,4493472.9,-5073.634,794.69202,-5654.5275,-2006519.6,-4738426.7,4493472.9,-3225.0405,-3996.55,-5654.5275,3100338.1,-4106910.3,4493472.9,1848.5936,-4791.242,-5654.5275
2220,-5399559.5,-582450.06,4144347.5,-4679.4324,840.24014,-5978.6192,-2195363.2,-4967380.7,4144347.5,-3067.3855,-3632.3873,-5978.6192,3204196.3,-4384930.7,4144347.5,1612.0469,-4472.6274,-5978.6192
2280,-5667968.5,-530763.23,3776576.6,-4264.1779,882.00799,-6275.8129,-2374329.8,-5173986.3,3776576.6,-2895.9303,-3251.8824,-6275.8129,3293638.7,-4643223.1,3776576.6,1368.2476,-4133.8904,-6275.8129
2340,-5910877.1,-476688.48,3391814.8,-3829.7387,919.80766,-6544.7716,-2542614.2,-5357314,3391814.8,-2711.4461,-2856.7472,-6544.7716,3368262.9,-4880625.5,3391814.8,1118.2925,-3776.5548,-6544.7716
2400,-6127192.5,-420469.09,2991793,-3378.0693,953.46908,-6784.285,-2699459.3,-5516538.9,2991793,-2514.7631,-2448.7593,-6784.285,3427733.1,-5096069.8,2991793,863.30622,-3402.2284,-6784.285
2460,-6315941.4,-362358,2578311.1,-2911.202,982.84082,-6993.2758,-2844159.5,-5650944.7,2578311.1,-2306.7661,-2029.7544,-6993.2758,3471781.9,-5288586.7,2578311.1,604.43586,-3012.5953,-6993.2758
2520,-6476274.7,-302616.64,2153229.3,-2431.237,1007.7907,-7170.8036,-2976063.7,-5759926.7,2153229.3,-2088.3909,-1601.6176,-7170.8036,3500211.1,-5457310.1,2153229.3,342.84612,-2609.4083,-7170.8036
2580,-6607471,-241513.81,1718460,-1940.3338,1028.2065,-7316.0697,-3094578.4,-5842994.7,1718460,-1860.6199,-1166.2751,-7316.0697,3512892.6,-5601480.9,1718460,79.713911,-2194.4816,-7316.0697
2640,-6708940.1,-179324.39,1275959.3,-1440.701,1043.9964,-7428.4205,-3199170.6,-5899774.8,1275959.3,-1624.4779,-725.68543,-7428.4205,3509769.5,-5720450.4,1275959.3,-183.77694,-1769.6818,-7428.4205
2700,-6780225.5,-116328.19,827718.07,-934.58639,1055.0893,-7507.3507,-3289369.6,-5930011.6,827718.07,-1381.0274,-281.83089,-7507.3507,3490855.9,-5813683.4,827718.07,-446.44097,-1336.9202,-7507.3507
2760,-6821006.4,-52808.623,375752.88,-424.26707,1061.4354,-7552.505,-3364769.6,-5933569.1,375752.88,-1131.3635,163.29161,-7552.505,3456236.8,-5880760.5,375752.88,-707.09645,-898.14374,-7552.505
2820,-6831099.4,10948.531,-77902.844,87.961034,1063.0059,-7563.6803,-3425031.4,-5910431.3,-77902.844,-876.60964,607.67946,-7563.6803,3406068,-5921379.9,-77902.844,-964.57067,-455.32648,-7563.6803
2880,-6810459,74656.427,-531208.08,599.7934,1059.794,-7540.8265,-3469883.9,-5860702.3,-531208.08,-617.91186,1049.3333,-7540.8265,3340575.1,-5935358.7,-531208.08,-1217.7053,-10.4607,-7540.8265
2940,-6759178.1,138028.44,-982123.39,1108.9273,1051.8141,-7484.0461,-3499125.2,-5784605.8,-982123.39,-356.43408,1486.2662,-7484.0461,3260052.9,-5922634.2,-982123.39,-1465.3614,434.45215,-7484.0461
3000,-6677487.5,200779.46,-1428620.1,1613.0721,1039.102,-7393.5948,-3512623.9,-5682484.1,-1428620.1,-93.352695,1916.5124,-7393.5948,3164863.6,-5883263.6,-1428620.1,-1706.4247,877.41038,-7393.5948
3060,-6565754.7,262627.17,-1868689.4,2109.9596,1021.7149,-7269.8795,-3510319.1,-5554796.7,-1868689.4,170.14869,2338.1361,-7269.8795,3055435.5,-5817423.9,-1868689.4,-1939.8109,1316.4211,-7269.8795
3120,-6424482.3,323293.3,-2300351.4,2597.3543,999.73115,-7113.4568,-3492221.3,-5402118.2,-2300351.4,432.88457,2749.2404,-7113.4568,2932260.9,-5725411.5,-2300351.4,-2164.4697,1749.5092,-7113.4568
3180,-6254305.9,382504.94,-2721664,3073.0634,973.24955,-6925.0304,-3458411.9,-5225135.3,-2721664,693.67289,3147.9758,-6925.0304,2795894,-5607640.3,-2721664,-2379.3906,2174.7262,-6925.0304
3240,-6055991.2,439995.66,-3130731.8,3534.9468,942.38926,-6705.448,-3409043,-5024644.4,-3130731.8,951.34035,3532.5483,-6705.448,2646948.2,-5464640.1,-3130731.8,-2583.6064,2590.1591,-6705.448
3300,-5830430.4,495506.84,-3525714.3,3980.9263,907.28913,-6455.6976,-3344336.7,-4801547.4,-3525714.3,1204.7277,3901.2279,-6455.6976,2486093.7,-5297054.3,-3525714.3,-2776.1986,2993.9387,-6455.6976
3360,-5578638.3,548788.71,-3904834.6,4408.9955,868.10708,-6176.9028,-3264584.1,-4556848.1,-3904834.6,1452.6949,4252.3556,-6176.9028,2314054.2,-5105636.8,-3904834.6,-2956.3005,3384.2485,-6176.9028
3420,-5301747.7,599601.56,-4266386.8,4817.2284,825.01938,-5870.3179,-3170144,-4291647.4,-4266386.8,1694.1265,4584.3519,-5870.3179,2131603.7,-4891249,-4266386.8,-3123.1019,3759.3325,-5870.3179
3480,-5001004.4,647716.79,-4608744.4,5203.7885,778.2199,-5537.3223,-3061441.4,-4007138.5,-4608744.4,1927.9361,4895.723,-5537.3223,1939563,-4654855.3,-4608744.4,-3275.8525,4117.5031,-5537.3223
3540,-4677761.4,692917.91,-4930367.1,5566.9366,727.91918,-5179.4141,-2938965.2,-3704601.3,-4930367.1,2153.0718,5185.0681,-5179.4141,1738796.2,-4397519.2,-4930367.1,-3413.8648,4457.1489,-5179.4141
3600,-4333473,735001.58,-5229808,5905.0388,674.34352,-4798.2035,-2803266.5,-3385396.9,-5229808,2368.5208,5451.0854,-4798.2035,1530206.5,-4120398.5,-5229808,-3536.518,4776.7419,-4798.2035
3660,-3969688.2,773778.45,-5505719.7,6216.5741,617.73397,-4395.4056,-2654955.9,-3050961.6,-5505719.7,2573.3137,5692.5781,-4395.4056,1314732.3,-3824740,-5505719.7,-3643.2604,5074.8441,-4395.4056
3720,-3588043.6,809074.06,-5756861.1,6500.1408,558.34522,-3972.8327,-2494700.5,-2702799.9,-5756861.1,2766.5293,5908.4597,-3972.8327,1093343.1,-3511873.9,-5756861.1,-3733.6115,5350.1144,-3972.8327
3780,-3190256.3,840729.63,-5982102.1,6754.4631,496.44445,-3532.3858,-2323221.3,-2342478.2,-5982102.1,2947.2981,6097.7589,-3532.3858,867034.91,-3183207.8,-5982102.1,-3807.1651,5601.3145,-3532.3858
3840,-2778115.9,868602.72,-6180429.5,6978.397,432.31017,-3076.0467,-2141290,-1971617.6,-6180429.5,3114.8069,6259.6241,-3076.0467,636825.91,-2840220.3,-6180429.5,-3863.5901,5827.314,-3076.0467
3900,-2353476.6,892567.94,-6350950.9,7170.9347,366.2309,-2605.8683,-1949724.8,-1591886.6,-6350950.9,3268.3021,6393.3271,-2605.8683,403751.81,-2484454.5,-6350950.9,-3902.6326,6027.0962,-2605.8683
3960,-1918249,912517.47,-6492899.2,7331.2102,298.50395,-2123.966,-1749387.8,-1204993.7,-6492899.2,3407.0931,6498.2663,-2123.966,168861.21,-2117511.1,-6492899.2,-3924.1171,6199.7623,-2123.966
4020,-1474391.2,928361.55,-6605635.7,7458.5023,229.43402,-1632.5079,-1541180.3,-812679.44,-6605635.7,3530.5555,6573.9695,-1632.5079,-66789.097,-1741041,-6605635.7,-3927.9469,6344.5355,-1632.5079
4080,-1023900,940028.91,-6688653.2,7552.2384,159.33186,-1133.7051,-1326038.9,-416708.95,-6688653.2,3638.1338,6620.0963,-1133.7051,-302138.92,-1356737.9,-6688653.2,-3914.1047,6460.7644,-1133.7051
4140,-568802.23,947467.04,-6741578.3,7611.9967,88.512862,-629.80174,-1104931.6,-18863.661,-6741578.3,3729.344,6636.439,-629.80174,-536129.41,-966330.7,-6741578.3,-3882.6528,6547.9261,-629.80174
4200,-111145.41,950642.48,-6764172.7,7637.5084,17.29564,-123.06487,-878853.25,379066.49,-6764172.7,3803.7758,6622.9241,-123.06487,-767707.83,-571575.99,-6764172.7,-3833.7327,6605.6285,-123.06487
4260,347011.45,949540.96,-6756335,7628.6587,-53.999396,384.22567,-648820.86,775291.21,-6756335,3861.0942,6579.6125,384.22567,-995832.32,-174249.75,-6756335,-3767.5645,6633.6119,384.22567
4320,803607.1,944167.42,-6718100.2,7585.4874,-125.05149,889.78756,-415869.42,1168027.9,-6718100.2,3901.0415,6506.6991,889.78756,-1219476.5,223860.46,-6718100.2,-3684.4459,6631.7505,889.78756
4380,1256587.3,934546.03,-6649640.5,7508.1888,-195.54097,1391.3463,-181046.96,1555509.5,-6649640.5,3923.4378,6404.5117,1391.3463,-1437634.3,620963.5,-6649640.5,-3584.7509,6600.0527,1391.3463
4440,1703914.1,920720.1,-6551263.9,7397.1105,-265.1507,1886.6453,54590.035,1935992.9,-6551263.9,3928.1825,6273.5103,1886.6453,-1649324,1015272.8,-6551263.9,-3468.928,6538.661,1886.6453
