t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0,6831552.3,0,0,0,-1063.0764,7564.1819,-714091.67,-945559.91,6728008.4,-7596.6748,111.12175,-790.67231,-6682266.5,197675.85,-1406536.8,1588.1375,1039.8457,-7398.8864
60,6816159.8,-63736.674,453508.89,-512.89102,-1060.6812,7547.0835,-1167956.1,-936783.74,6665513.6,-7526.4973,181.30993,-1291.7183,-6571999.9,259574.53,-1846957.4,2086.0177,1022.6697,-7276.2769
120,6770052.1,-127186.14,904967.57,-1023.4456,-1053.5065,7495.868,-1616597.9,-923818.75,6573116.7,-7422.6529,250.6971,-1787.0386,-6432134.9,320304.19,-2279033.1,2574.3746,1000.8931,-7120.8273
180,6693439.5,-190062.52,1352335.4,-1529.3391,-1041.5859,7410.7745,-2058010,-906722.28,6451227.7,-7285.5932,318.97443,-2274.4211,-6263309.7,379591.71,-2700814.3,3050.9952,974.61728,-6933.2644
240,6586670.7,-252082.62,1793590.8,-2028.27,-1024.9747,7292.1995,-2490216.7,-885570.1,6300388.6,-7115.9168,385.83756,-2751.6861,-6066293.3,437170.71,-3110399.9,3513.7253,943.96433,-6714.4619
300,6450231.7,-312967.2,2226740.6,-2517.9717,-1003.7499,7140.6952,-2911282.5,-860456.04,6121270.6,-6914.3672,450.98794,-3216.6954,-5841982.2,492782.71,-3505945.2,3960.4793,909.07613,-6465.4356
360,6284743.2,-372442.3,2649829.6,-2996.2232,-978.01006,6956.9654,-3319320.9,-831491.64,5914672,-6681.8306,514.1341,-3667.3618,-5591395.5,546178.34,-3885670.7,4389.2498,870.11357,-6187.3376
420,6090957.3,-430240.47,3060948.9,-3460.8602,-947.87402,6741.8623,-3712502.8,-798805.7,5681514.6,-6419.3326,574.99292,-4101.658,-5315670.4,597118.42,-4247869.8,4798.1164,827.2557,-5881.4496
480,5869754.2,-486102.02,3458245.4,-3909.7851,-913.48081,6496.3808,-4089064.7,-762543.71,5422839.6,-6128.035,633.29096,-4517.6265,-5016056.2,645375.03,-4590916.8,5185.2547,780.69867,-5549.1761
540,5622137.8,-539776.18,3839929.6,-4340.9767,-874.9886,6221.6534,-4447316.8,-722867.26,5139803.6,-5809.2312,688.7657,-4913.388,-4693908.9,690732.51,-4913273.6,5548.943,730.65478,-5192.0368
600,5349230.5,-591022.19,4204284.1,-4752.4996,-832.57389,5918.9436,-4785650.7,-679953.31,4833673.1,-5464.3413,741.16679,-5287.1507,-4350684.3,732988.4,-5213496.4,5887.5701,677.3513,-4811.6589
660,5052268.1,-639610.46,4549670.9,-5142.5122,-786.4305,5589.639,-5102546.8,-633993.46,4505819.5,-5094.9067,790.25728,-5637.2191,-3987931.7,771954.29,-5490242.3,6199.6411,621.02938,-4409.7686
720,4732594.1,-685323.47,4874538.9,-5509.275,-736.76862,5235.2443,-5396581.6,-585193.1,4157712.6,-4702.5835,835.81482,-5962.0027,-3607286.1,807456.63,-5742274.7,6483.7831,561.94286,-3988.183
780,4391652.8,-727956.82,5177430.6,-5851.1577,-683.81366,4857.3731,-5666434.3,-533770.49,3790914.5,-4289.1355,877.63276,-6260.0237,-3210461.3,839337.44,-5968468.3,6738.7501,500.35709,-3548.8015
840,4030983.1,-767320.03,5456988.4,-6166.6451,-627.80515,4457.74,-5910892.6,-479955.77,3407072.3,-3856.4268,915.52128,-6529.9249,-2799242,867455,-6167814.4,6963.4272,436.54766,-3093.5968
900,3652211.2,-803237.41,5711960.3,-6454.3437,-568.99555,4038.1523,-6128859.3,-423989.98,3007910.6,-3406.4128,949.30837,-6770.4773,-2375475.5,891684.38,-6339424.2,7156.8347,370.79927,-2624.6064
960,3257043.1,-835548.76,5941205.3,-6712.9862,-507.64911,3600.5012,-6319356.8,-366123.88,2595223.9,-2941.1315,978.84074,-6980.5862,-1941064.1,911917.98,-6482533.3,7318.1306,303.40442,-2143.9237
1020,2847256.8,-864110.06,6143698.4,-6941.4361,-444.04059,3146.7534,-6481531.9,-306616.87,2170868.3,-2462.6936,1003.9847,-7159.2977,-1497956.2,928065.96,-6596504,7446.6136,234.66222,-1653.6892
1080,2424694.7,-888794.06,6318534.4,-7138.6916,-378.45407,2678.942,-6614660.3,-245735.76,1736752.4,-1973.2724,1024.6269,-7305.8034,-1048138,940056.59,-6680828.5,7541.725,164.8772,-1156.0818
1140,1991255.1,-909490.82,6464932,-7303.8891,-311.18174,2199.1579,-6718149.4,-183753.54,1294829.3,-1475.0929,1040.6748,-7419.4451,-593625.01,947836.54,-6735130.5,7603.0505,94.358027,-653.30979
1200,1548883.8,-926108.13,6582236.7,-7436.3054,-242.52263,1709.5409,-6791541.6,-120948.11,847086.49,-970.42084,1052.0574,-7499.7186,-136453.15,951371.1,-6759166.9,7630.3212,23.416326,-147.60256
1260,1099565.8,-938571.89,6669923.8,-7535.3607,-172.78141,1212.271,-6834515.9,-57600.957,395537.46,-461.55115,1058.7255,-7546.2757,321329.89,950644.31,-6752828.9,7623.4148,-47.634533,358.79855
1320,645316.51,-946826.44,6727600.4,-7600.6197,-102.26712,709.55904,-6846890,6004.1074,-57788.356,49.203693,1060.6519,-7558.9263,777673.47,945659.05,-6716142.1,7582.3554,-118.48065,863.64872
1380,188173.2,-950834.73,6755006.7,-7631.7932,-31.292019,203.63863,-6828620.2,69582.32,-510854.84,559.5254,1057.8315,-7537.6393,1230532.8,936437,-6649266.9,7507.3143,-188.80882,1364.7085
1440,-269814.02,-950578.55,6752017.8,-7628.7391,39.829732,-303.24318,-6779801.9,132849.27,-961628.76,1067.1016,1050.2812,-7482.5418,1677877.8,923018.58,-6552497.5,7398.6089,-258.30774,1859.7524
1500,-726590.94,-946058.53,6718643.3,-7591.4629,110.78323,-808.83451,-6700668.8,195522.24,-1408089.2,1569.6374,1038.0402,-7393.9179,2117701.8,905462.82,-6426261,7256.7025,-326.66923,2346.5778
1560,-1180108.1,-937294.21,6655028.4,-7520.1178,181.25408,-1310.8875,-6591591.5,257321.47,-1848237.1,2064.867,1021.1688,-7272.2071,2548030.1,883847.1,-6271115.9,7082.2029,-393.58947,2823.014
1620,-1628329.6,-924323.95,6561452.3,-7415.0044,250.92964,-1807.1673,-6453075.4,317971.51,-2280104.1,2550.5647,999.74895,-7118.0005,2966929.2,858266.88,-6087749.8,6875.8607,-458.77024,3286.9305
1680,-2069242.1,-907204.76,6438328.1,-7276.5701,319.50023,-2295.4606,-6285757.9,377202.41,-2701761.9,3024.5555,973.88298,-6932.0372,3372514.3,828835.29,-5876976.3,6638.5675,-521.92017,3736.2465
1740,-2500863.4,-886012.13,6286200.5,-7105.4077,386.66041,-2773.5849,-6090405.2,434750.98,-3111330.9,3484.7256,943.69327,-6715.1993,3762958.8,795682.74,-5639732.7,6371.353,-582.75597,4168.9397
